target,submission_strategy,model_name,threshold,accuracy,f1,positive_rate,prior_gap,fold
Q1,rule_subject_strategy_tuned,rule,0.05,0.4188034188034188,0.46874999999999994,0.5299145299145299,0.05844305844305847,last_quarter_by_subject
Q1,model_logistic_regression,logistic_regression,0.05,0.49572649572649574,0.6193548387096774,0.7606837606837606,0.2892122892122892,last_quarter_by_subject
Q1,blend_logistic_regression_rule_0.25,logistic_regression,0.05,0.4700854700854701,0.6075949367088608,0.7863247863247863,0.31485331485331486,last_quarter_by_subject
Q1,blend_logistic_regression_rule_0.5,logistic_regression,0.05,0.4700854700854701,0.617283950617284,0.8205128205128205,0.34904134904134904,last_quarter_by_subject
Q1,blend_logistic_regression_rule_0.75,logistic_regression,0.05,0.46153846153846156,0.6134969325153373,0.8290598290598291,0.35758835758835766,last_quarter_by_subject
Q1,model_linear_svc,linear_svc,0.05,0.5299145299145299,0.6783625730994153,0.8974358974358975,0.425964425964426,last_quarter_by_subject
Q1,blend_linear_svc_rule_0.25,linear_svc,0.05,0.48717948717948717,0.625,0.8034188034188035,0.331947331947332,last_quarter_by_subject
Q1,blend_linear_svc_rule_0.5,linear_svc,0.05,0.48717948717948717,0.6341463414634148,0.8376068376068376,0.3661353661353662,last_quarter_by_subject
Q1,blend_linear_svc_rule_0.75,linear_svc,0.05,0.5128205128205128,0.6666666666666666,0.8974358974358975,0.425964425964426,last_quarter_by_subject
Q1,model_svc_rbf,svc_rbf,0.25,0.5811965811965812,0.7262569832402235,0.9658119658119658,0.4943404943404944,last_quarter_by_subject
Q1,blend_svc_rbf_rule_0.25,svc_rbf,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q1,blend_svc_rbf_rule_0.5,svc_rbf,0.15,0.5811965811965812,0.7262569832402235,0.9658119658119658,0.4943404943404944,last_quarter_by_subject
Q1,blend_svc_rbf_rule_0.75,svc_rbf,0.25,0.5982905982905983,0.7314285714285714,0.9316239316239316,0.4601524601524602,last_quarter_by_subject
Q1,model_random_forest,random_forest,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q1,blend_random_forest_rule_0.25,random_forest,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q1,blend_random_forest_rule_0.5,random_forest,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q1,blend_random_forest_rule_0.75,random_forest,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q1,model_extra_trees,extra_trees,0.35,0.5811965811965812,0.7231638418079097,0.9487179487179487,0.47724647724647723,last_quarter_by_subject
Q1,blend_extra_trees_rule_0.25,extra_trees,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q1,blend_extra_trees_rule_0.5,extra_trees,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q1,blend_extra_trees_rule_0.75,extra_trees,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q1,model_hist_gradient_boosting,hist_gradient_boosting,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q1,blend_hist_gradient_boosting_rule_0.25,hist_gradient_boosting,0.05,0.5299145299145299,0.6857142857142857,0.9316239316239316,0.4601524601524602,last_quarter_by_subject
Q1,blend_hist_gradient_boosting_rule_0.5,hist_gradient_boosting,0.05,0.5555555555555556,0.7142857142857143,0.9914529914529915,0.5199815199815201,last_quarter_by_subject
Q1,blend_hist_gradient_boosting_rule_0.75,hist_gradient_boosting,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q1,model_mlp,mlp,0.05,0.5128205128205128,0.6225165562913908,0.7264957264957265,0.255024255024255,last_quarter_by_subject
Q1,blend_mlp_rule_0.25,mlp,0.05,0.49572649572649574,0.6289308176100629,0.7948717948717948,0.3234003234003234,last_quarter_by_subject
Q1,blend_mlp_rule_0.5,mlp,0.05,0.49572649572649574,0.6380368098159509,0.8290598290598291,0.35758835758835766,last_quarter_by_subject
Q1,blend_mlp_rule_0.75,mlp,0.05,0.5128205128205128,0.6545454545454545,0.8461538461538461,0.3746823746823747,last_quarter_by_subject
Q1,model_lightgbm,lightgbm,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q1,blend_lightgbm_rule_0.25,lightgbm,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q1,blend_lightgbm_rule_0.5,lightgbm,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q1,blend_lightgbm_rule_0.75,lightgbm,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q1,model_catboost,catboost,0.35,0.5982905982905983,0.7251461988304092,0.8974358974358975,0.425964425964426,last_quarter_by_subject
Q1,blend_catboost_rule_0.25,catboost,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q1,blend_catboost_rule_0.5,catboost,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q1,blend_catboost_rule_0.75,catboost,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q1,meta_rule_extra_trees,extra_trees,0.35,0.5726495726495726,0.7222222222222222,0.9743589743589743,0.5028875028875028,last_quarter_by_subject
Q1,meta_rule_lightgbm,lightgbm,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q1,meta_rule_catboost,catboost,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q1,meta_rule_hist_gradient_boosting,hist_gradient_boosting,0.05,0.5641025641025641,0.7213114754098361,1.0,0.5285285285285286,last_quarter_by_subject
Q2,rule_subject_strategy_tuned,rule,0.05,0.6666666666666666,0.751592356687898,0.7094017094017094,0.1718641718641719,last_quarter_by_subject
Q2,model_logistic_regression,logistic_regression,0.05,0.6153846153846154,0.7272727272727272,0.7777777777777778,0.24024024024024027,last_quarter_by_subject
Q2,blend_logistic_regression_rule_0.25,logistic_regression,0.15,0.6666666666666666,0.7719298245614035,0.8290598290598291,0.2915222915222916,last_quarter_by_subject
Q2,blend_logistic_regression_rule_0.5,logistic_regression,0.35,0.6752136752136753,0.7764705882352941,0.8205128205128205,0.28297528297528296,last_quarter_by_subject
Q2,blend_logistic_regression_rule_0.75,logistic_regression,0.25,0.6239316239316239,0.7528089887640449,0.8888888888888888,0.3513513513513513,last_quarter_by_subject
Q2,model_linear_svc,linear_svc,0.05,0.6239316239316239,0.7555555555555555,0.905982905982906,0.36844536844536846,last_quarter_by_subject
Q2,blend_linear_svc_rule_0.25,linear_svc,0.2,0.6581196581196581,0.7619047619047619,0.8034188034188035,0.2658812658812659,last_quarter_by_subject
Q2,blend_linear_svc_rule_0.5,linear_svc,0.05,0.6239316239316239,0.7659574468085106,0.9743589743589743,0.4368214368214368,last_quarter_by_subject
Q2,blend_linear_svc_rule_0.75,linear_svc,0.05,0.6239316239316239,0.7684210526315789,0.9914529914529915,0.45391545391545396,last_quarter_by_subject
Q2,model_svc_rbf,svc_rbf,0.35,0.6581196581196581,0.782608695652174,0.9401709401709402,0.40263340263340264,last_quarter_by_subject
Q2,blend_svc_rbf_rule_0.25,svc_rbf,0.05,0.6324786324786325,0.7748691099476439,1.0,0.4624624624624625,last_quarter_by_subject
